Self-signed Certificates
Host IP|Subject Common Name|Subject Organization Name
31.19.147.38|madesm0uvkhnedgc.myfritz.net|None
5.76.136.40|None|CIG
211.71.24.198|211.71.24.198|Hikvision
107.223.130.118|BMS|Motorola-Mobility Corp.
107.6.225.73|emarket18.kryptservers.com|SomeOrganization
217.18.233.187|217.18.233.187|None
209.35.126.48|plesk|Parallels
84.179.228.168|inselhandel.no-ip.org|None
12.132.18.72|Fireware web CA|WatchGuard
128.125.230.189|HP Jetdirect 7D8C591F|Hewlett-Packard Co.
212.60.129.240|Common Name (eg, YOUR name)|CompanyName
172.14.181.237|None|Mini Webservice Ltd
67.84.223.30|WRT54G|Linksys
37.242.194.88|PlayBook: 40:6f:2a:15:ce:1a|Research In Motion Limited
24.222.46.7|Polycom Inc.|Polycom Inc.
99.67.193.255|None|Mini Webservice Ltd
76.117.212.190|B8:9B:C9:7D:39:4C|Hitron Technologies
71.194.247.169|B8:9B:C9:DA:8F:6C|Hitron Technologies
70.139.87.226|None|Mini Webservice Ltd
68.61.172.233|78:CD:8E:C7:E3:5B|Hitron Technologies
69.41.187.144|69.41.187.144|HTTPS Management Certificate for SonicWALL (self-signed)
195.160.231.207|IPMI|Super Micro Computer Inc.
24.1.235.247|localdomain|Axentraserver Default Certificate 863B4AB
173.203.219.69|epredator|None
108.209.253.204|None|Mini Webservice Ltd
86.54.209.171|Vigor Router|DrayTek Corp.
99.67.114.218|None|Mini Webservice Ltd
99.100.6.190|BMS|Motorola-Mobility Corp.
69.140.151.249|C4:39:3A:91:0B:8C|Hitron Technologies
99.37.196.29|BMS|Motorola-Mobility Corp.
99.126.49.93|None|Mini Webservice Ltd
94.51.24.112|None|CIG
98.191.19.232|NetGear|NETGEAR Inc.
120.209.123.38|lenovo|bjasljsgs
99.30.158.45|None|Mini Webservice Ltd
210.65.186.254|AG4412AA0193|None
203.183.67.217|www.ingni.com|Firstserver, Inc
64.77.46.162|localhost.localdomain|SomeOrganization
212.202.106.68|None|Funkwerk Enterprise Communications GmbH
64.64.144.9|gonescrape.com|gonescrape.com
67.68.107.223|IOS-Self-Signed-Certificate-2836455343|None
108.204.196.99|None|Mini Webservice Ltd
69.71.80.136|001839072E9D|Cisco-Linksys, LLC
108.87.120.235|BMS|Motorola-Mobility Corp.
58.210.120.130|server|HW
216.25.67.77|localhost.localdomain|SomeOrganization
128.61.129.33|localhost.localdomain|SomeOrganization
208.73.99.186|192.168.0.245|HTTPS Management Certificate for SonicWALL (self-signed)
107.201.78.5|None|Mini Webservice Ltd
107.195.181.35|None|Mini Webservice Ltd
217.92.196.64|localhost|None
84.134.133.96|sisusecurity.dyndns.org|None
98.236.42.177|78:CD:8E:62:D8:E8|Hitron Technologies
162.193.89.26|None|Mini Webservice Ltd
81.134.12.180|Vigor Router|DrayTek Corp.
107.193.245.227|None|Mini Webservice Ltd
172.4.231.76|None|Mini Webservice Ltd
220.121.84.112|SECUREWORKS SSL|SECUREWORKS
109.52.147.226|192.168.2.1|Inhand Networking Co., Ltd.
147.30.168.150|None|CIG
195.202.131.163|google.com|Google Inc
216.246.152.47|*.device290996.wd2go.com|Western Digital
86.62.205.202|myrouter.local|Cisco Systems
112.169.82.11|localhost|PolarSSL
172.1.102.74|BMS|Motorola-Mobility Corp.
186.28.24.92|trendchip|trendchip
95.129.242.48|UBNT|Ubiquiti Networks Inc.
107.210.252.82|None|Mini Webservice Ltd
99.6.232.93|None|Mini Webservice Ltd
99.100.170.90|None|Mini Webservice Ltd
99.100.28.199|None|Mini Webservice Ltd
148.130.72.55|localhost.localdomain|SomeOrganization
208.81.124.9|IOS-Self-Signed-Certificate-1281676288|None
75.62.20.27|BMS|Motorola-Mobility Corp.
83.7.175.78|midura.dyndns.org|None
178.37.137.241|192.168.1.1|None
198.84.205.145|*.pixeloid.ca|Pixeloid.ca
37.9.228.251|sw02.inartek.it|None
124.127.100.174|SANGFOR AD ADMIN|SANGFOR
174.23.184.82|Daniel|Broadcom
89.243.100.28|Technicolor TG582n|Technicolor
190.2.235.221|mail.redfrogconnect.com|None
188.40.4.140|node11.6.vpool.your-server.de|Hetzner Online AG
132.235.190.176|sslexample.amx.com|AMX Corporation
212.162.9.194|cisco3560-2.|None
62.146.63.159|DRAC5 default certificate|Dell Inc.
84.135.121.182|0qcjyg944ohmjf1h.myfritz.net|None
99.146.117.141|None|Mini Webservice Ltd
79.190.64.109|Daniel|Broadcom
204.126.167.254|IOS-Self-Signed-Certificate-2376457517|None
178.32.97.130|solusimple.org|None
76.221.86.73|None|Mini Webservice Ltd
95.154.108.108|IOS-Self-Signed-Certificate-1618815591|None
190.56.158.233|Thomson TG585 v7|THOMSON
77.29.164.114|Dreambox|Webinterface
206.108.213.107|None|GvServer
199.166.37.3|localhost.localdomain|SomeOrganization
177.103.161.62|localhost.localdomain|Multitech
121.97.186.73|192.168.168.168|HTTPS Management Certificate for SonicWALL (self-signed)
50.131.178.68|78:CD:8E:CF:9B:B8|Hitron Technologies
62.12.144.191|62.12.144.191|None
27.54.121.125|OpenWrt|None
1.10.226.64|UBNT|Ubiquiti Networks Inc.
221.214.143.47|SG-6000|Hillstone Networks
202.131.44.191|50:3d:e5:e8:a8:ac|Cisco Systems, Inc.
79.252.159.221|6fif8zdc13ds8k0x.myfritz.net|None
190.228.242.39|ZXV10|ZTE Corporation
113.160.5.186|FGT80C3912608471|Fortinet Ltd.
177.84.10.56|UBNT|Ubiquiti Networks Inc.
222.177.17.101|TOPSEC PRODUCTS|Beijing Topsec Network Security Technology Co., Ltd.
82.80.85.185|SpeedTouch 5x6|THOMSON
91.102.162.110|localhost|none
23.19.82.27|64.120.5.82.rdns.ubiquityservers.com|SomeOrganization
62.219.17.225|FG200B3911601950|Fortinet Ltd.
186.30.105.193|trendchip|trendchip
77.54.13.172|ipwebs.interpeak.com|Interpeak
201.191.98.160|192.168.1.1|ADB Broadband
77.253.53.135|192.168.1.1|None
181.110.6.106|ZXV10|ZTE Corporation
93.219.33.243|theone320.no-ip.org|None
108.244.0.160|None|Mini Webservice Ltd
14.0.63.23|iDRAC6 default certificate|Dell Inc.
60.170.122.72|lenovo|bjasljsgs
50.194.83.61|NetGear|NETGEAR Inc.
88.74.204.40|jspdm.no-ip.org|None
178.195.106.1|*.device330778.wd2go.com|Western Digital
77.87.96.150|localhost|Entensys
58.64.134.78|wintipshk.com|SomeOrganization
150.254.151.43|ILOCZ1832038X|Hewlett-Packard Company
178.81.250.211|PlayBook: 94:eb:cd:a8:a5:8d|Research In Motion Limited
93.89.19.84|localhost|none
162.192.205.113|None|Mini Webservice Ltd
89.244.251.26|xqjcisrt8vd9vsjd.myfritz.net|None
87.139.28.206|www.lancom-systems.de|LANCOM Systems
66.111.196.32|localhost.com|SomeOrganization
